,Current,Contribution,Time Start,Time End
0,I_Na,0.969785220632865,565.0,575.0
1,I_NaL,0.4766007635313769,11180.0,11190.0
2,I_To,0.6964665138276935,7355.0,7365.0
3,I_CaL,0.7933720533600455,595.0,605.0
4,I_CaNa,0.07686515711696382,8815.0,8825.0
5,I_CaK,0.16589252286052106,2335.0,2345.0
6,I_Kr,0.7697704225156349,1710.0,1720.0
7,I_Ks,0.5514698777263249,5635.0,5645.0
8,I_K1,0.9925720818285899,11130.0,11140.0
9,I_NaCa,0.12112061966461843,1615.0,1625.0
10,I_NaCa_ss,0.23677766103176942,605.0,615.0
11,I_NaK,0.34184502495093894,7160.0,7170.0
12,I_Kb,0.20639289798837002,1620.0,1630.0
13,I_Nab,0.08402706107279069,7160.0,7170.0
14,I_Cab,0.09488588201064198,7160.0,7170.0
15,I_pCa,0.00036319518776790455,7160.0,7170.0
