,Current,Contribution,Time Start,Time End
0,I_Na,0.9596471689352541,560.0,570.0
1,I_NaL,0.17604105024550365,5405.0,5415.0
2,I_To,0.6541903368013572,3310.0,3320.0
3,I_CaL,0.7494838935953765,4005.0,4015.0
4,I_CaNa,0.0827366037998642,625.0,635.0
5,I_CaK,0.162339638765901,3325.0,3335.0
6,I_Kr,0.730673577234256,1395.0,1405.0
7,I_Ks,0.37142622710192846,2560.0,2570.0
8,I_K1,0.9906034262996761,5355.0,5365.0
9,I_NaCa,0.26049366724059636,5430.0,5440.0
10,I_NaCa_ss,0.22005741704318033,5390.0,5400.0
11,I_NaK,0.17789313236882587,525.0,535.0
12,I_Kb,0.1808498339159318,2250.0,2260.0
13,I_Nab,0.03964961572244618,525.0,535.0
14,I_Cab,0.04471366779075345,525.0,535.0
15,I_pCa,0.0002533478150414581,5425.0,5435.0
