,Current,Contribution,Time Start,Time End
0,I_Na,0.9641568864529786,545.0,555.0
1,I_NaL,0.7040253429023827,2175.0,2185.0
2,I_to,0.7851183931629451,2830.0,2840.0
3,I_CaL,0.9148666807454998,4535.0,4545.0
4,I_Kr,0.8853938613869096,5780.0,5790.0
5,I_Ks,0.5835055503147398,8235.0,8245.0
6,I_K1,0.9999807478632835,2125.0,2135.0
