,Current,Contribution,Time Start,Time End
0,I_Na,0.9717806933787827,520.0,530.0
1,I_NaL,0.5035794418513512,9025.0,9035.0
2,I_To,0.6428017303240007,5660.0,5670.0
3,I_CaL,0.7826775525012989,6880.0,6890.0
4,I_CaNa,0.08904328993744777,555.0,565.0
5,I_CaK,0.16274924209847824,2025.0,2035.0
6,I_Kr,0.7602260412598868,1405.0,1415.0
7,I_Ks,0.5491123699132817,5145.0,5155.0
8,I_K1,0.9919512151141066,505.0,515.0
9,I_NaCa,0.22668913037408023,6910.0,6920.0
10,I_NaCa_ss,0.5161636208232092,6890.0,6900.0
11,I_NaK,0.38407493498859285,5895.0,5905.0
12,I_Kb,0.1804828411799386,2190.0,2200.0
13,I_Nab,0.09122439455012653,5895.0,5905.0
14,I_Cab,0.10301294199195782,5895.0,5905.0
15,I_pCa,0.00047574638245704497,5895.0,5905.0
