,Current,Contribution,Time Start,Time End
0,I_Na,0.8983331994782922,1770.0,1780.0
1,I_si,0.868939688204799,1690.0,1700.0
2,I_K1,0.9652002155369779,2310.0,2320.0
3,I_x1,0.6273297768880045,4990.0,5000.0
